nama,review
indri kurniawan,"Tempatnya cozy bgt buat nongkrong ramai2 dan indoor smoking gaes. Service nya ramah2,sopan. Makanan minumannya juga enak. Live musicnya bagus2. Pokoknya nyaman deh😍😍 …"
Bach Ray,"interesting place to hangout with friends.  There are many varieties of food and drinks on the menu to choose from.  There is also live music where you can request songs, so you can sing along.  there is a VIP room for private use.  The toilets are clean and there is also a mushallah. Mantapp!"
Frids Kowombon,Nasi gorengnya enak
chaidir wibowo,"Suasana, makanan dan layanan sangat superrrrr.  Terima kasih."
tegar abhizar,pelayannya ramah makanannya juga enaki rekomen yg mau santai² smbil ngobrol bareng teman²ny
Nursyahbani Andi nabila,cafenya estetik. suka banget suasana di cafe ini.
Kees Maagdenberg,"Nice music, not too loud. Good service and good food. Relaxed atmosphere👌"
Aiza yuri,"Cocok sekali buat nongkrong berdua ataupun rame2...live musicx jg sangat menghibur, makanan dan minumanx jg enak2"
Desak Deshi,"Lokasi strategis, tempatnya bagus untuk makan atau sekedar nongkrong bareng teman

Makanannya enak, utamanya Onkel John's Bouillabaise nya

Bagus juga buat tempat meeting, ruangan nya ber AC tapi bisa merokok"
Fauzan Fauzia,"Adem dan pelayanan baik, makanannya enak."
Poe Pute,"Suka dengan interiornya, tapi kurang suka kopi susu nya, karena terasa encer. Tapi untk kopi  salt karamel nya enak banget pizza nya ju endullll"
Cindy Hasan,bagus
Valerie Arianto,Mantap
Budhi Setiawan,Suasana nyaman utk diskusi dan ngobrol sama kawan.....rekomen utk yg pingin duduk santai ngobrol dan nikmati menu2 yg unik dan segar
kAL Jack,Cool atmosphere despite the hot weather outside the premises
Johan Tanuwijaya,Suasana vintage dan industrial nya bagus.. cuma agak banyak nyamuk ya
Sulkifli 1994,"Pelayanan ramah, makanan enak, tempatnya bersih, wc dan mushollannya harum."
muhammad tahur,"Makanan, minuman pelayanan suasana mantap
Bisa buat meeting atau ngantor sambil hang out"
Asano,Cozy cafe
Izhar wahyu Zafitra,"Tempat yang cocok buat hang out dan meeting,ada live music di hari jumat,sabtu dan minggu."
zul arfandy,"Tempatnya yang nyaman buat ngobrol santai... sya suka pelayanannya... apa lgi server""nya baik sopan ramah"
Septian Prima Razak,"Bagus cafenya, makanan dan minuman enak 👌 …"
Ms. Nevada Noct,"Tempat nongkrong yang nyaman nya serasa rumah.

Makanan dan minuman nya juara

👌👌👌👌👌"
Rio Raseda,"Malem minggu rame euy.. Ada live musik, enak enak makanan dan minumnya.."
rezky putrawan,Tempat yang paling pas buat nongkrong sama teman atau keluarga. The best pokoknya👍👍👍
Argha Ariyanto,"Good atmosphere, great food, perfect coffee 💯
Indoor smoking & non smoking area. Live music every friday & saturday night. …"
Irham Tafrani,Nyaman untuk nongkrong
Ketty Puturuhu,"Asik buat santai santai bersama teman , pas buat acara reuni atau arisan,ulang tahun"
Deddy Sudoyo,"Suasana “Old Fashion” nya terasa, termasuk lagu-lagu thn 90an"
Ukka 46,Tidal usah ada tukang parkir. Pemgeluaran tambahan lg
ImOrdinary,What a nice place to spend time with friends..
Suardi Ardi,Kopi nya enak2 semua pas dengan selera muda dan tua
Dhian M,Dari segi suasana makanan dan pelayanannya top banget..👍👍
Anisauji Fauziah,👍👍👍
James Wijaya,Tempat nongki yang asik aman nyaman pelayanan juga mantap
Herman Daeng Sijaya,Sangat tdk menyenangkan perilaku anggota managementnya
Asuban Prasad,Life music nya mantap.
Difoto Wedding,Keren dan kekinian tempatnya
Yudi Hendra,Mantap tmp nya
Rita Maulita,pelayanan baik dan ganteng2
Properti Chanel [Daeng Sibali],Keren
Kopral Jono,Cafe t4 ngopi yg menarik dan otentik..
Akbar Husain,Mantap
Deianeira,Cozy place
Simon Bosch,"Very nice food, Pizza was amazing!"
ShiviaCraft,Tempatnya nyaman menux enak2
Ary Ekayani,"suasanax adem nyaman , pelayanx ramah  👌😍 …"
Charles Sahetapy,Mantapppp...bandnya kerennn.
Feby Thung,mantap gaming
Jein Indrianti,cafe nya indah
fandy 888mr,"Semuax enak, dan pelayanan ramah"
Dimas Angga p,Best coffee and bakara in town .
Khun Aguero,Cozy
Yusran Bansen,Mantap
Ardis Sua,Kopi mantaf rekomendek
harly katili,Semuanya Mantabsss...
Ibnu 5061,Ada live music👍
Sudirman Hamid,Cafe yang nyaman
Alit CeKa,Cozy place..
Ina Rusli,Perfectt service!! 👍🏻
A M F G M,
Raenalt Asma,"suasana nya enak, dan nyaman"
Matthew Pangaribuan,"Tempatnya Cozy, Makanan nya enak², pelayanan sangat memuaskan, staff nya ramah²"
Dinda Andini,Pelayanannya snagat ramah baru makanan juga enak enak
Jasmir Aly,"Sangat rekomended.
Dan pelayanannya sangat bagus.
Apalagi buat santai."
Jilian Savary,"Superb cafe in the city center. Great atmosphere and delicious, beautifully presented food. Very friendly staff."
Anwar Jimpe Rachman,"Those who smoke and can do it indoors, this place is okay 👌"
Elisabeth Dessaux,"A warm and welcoming place, like a second home! A lovely evening and delicious food with a fantastic and very friendly team!
We keep coming back! 😍"
naura attailla,
PIERE PINONTOAN,
Ahya Ahmadan,
Lanski 151,
sri tuty,
Siti Zaskia,
Sui Yeng,Perfect!!
muhammad ikhsan,
Juan Nita,Forget
Hamka Didit Ardiansyah,
M. Assaad Tahir,
Rooschanty Robinson,
Surya H,
andi mengkau aswad aras,
onkel johns,
Dhanyswara Ainnaya,
Muh Rifka,
Ria Atmaranti Kusuma,
Théo Savary,
The Shadow Company,
Meilinda Lionardo,
Raihan Andrisa,
Erik Angriawan,
Abay nugraha Official,
Jo Lie,
ASFAT AZIS,
Yoga Barong Putri,
YtBrodo,
Koen ter Velde,
andreas prasetyo,
Afriyanti Yanti,
Adventus Siagian,
Wempy Darhamsa,
noviar mamala,
Milha Patta,
Aditya Yuda K. Putra,
chandra storing makassar Storing makassar,
KF,
Azis Djarre,
Andi Ismail Arfah,
Yusmaniar Yusmaniar,
Ricky Rudiana,
HERMAN,
Daud Reza,
SUSAN WIJAYA,
Alfonsus Satria,
Marlia Kamaruddin,
Andi Rafli Wahyudin,
Amos Peddha,
Muh Asrul,
"Rahis P. Pratama, SH.,MH",
Ary Prasetyo,
Agone Addy,
Risandy Mulyadi,
Benhard Tuwonaung,
Diana Jonas,
Zulfikar As,
Danu,
indra ispujianto,
arifin full,
Aloysius Christian,
ATHOL BASS,
Suzy Kandani,
Fida Sulystiani,
ffajrin karim,
haris bayu,
erisoya Jrm,
