,name,rating,num_reviewers,type,lat,long
108,442 Coffee Rappocini,5.0,1,Coffee shop,-5.1520568,119.4298223
109,Kopi Teko,4.9,150,Coffee store,-5.1752081,119.439402
110,Kopi JEKA,4.7,101,Coffee shop,-5.1728088,119.4423444
111,Kopi Kenangan - Ruko Rapoccini,4.8,32,Coffee shop,-5.1539531,119.4275954
112,Toko Kopi AbadiJaya,4.6,45,Cafe,-5.1629107,119.4332213
113,Ruumi coffee,4.8,44,Coffee shop,-5.181167,119.440703
114,Foil Coffee,4.5,35,Coffee shop,-5.1555299,119.4298871
115,Warkop Bundu Talasalapang,4.4,1307,Coffee shop,-5.1832518,119.4478154
116,Daun Coffee Monginsidi,4.5,1010,Coffee shop,-5.1493706,119.4274645
117,KOPIKU,4.9,32,Coffee shop,-5.1777197,119.4435531
118,Rumah Kopi Sweetness coffee mks,4.7,239,Coffee shop,-5.162998,119.430592
119,Wirskopi,4.6,94,Coffee shop,-5.1513167,119.4326194
120,Duajiwa Coffee,4.7,215,Coffee shop,-5.1640141,119.4240097
121,Pakopi Rappocini,4.8,5,Coffee shop,-5.1550846,119.4289245
122,KOPIMOLAGI,5.0,2,Coffee shop,-5.1727719,119.442152
123,Kopi Break,4.8,43,Coffee shop,-5.1660092,119.4340187
124,Eskopi Talasalapang,4.7,25,Coffee shop,-5.182674,119.4469884
125,Kopi Kenangan - Ruko Landak Makassar,4.3,104,Coffee shop,-5.1640194,119.4245252
126,Black Canyon Coffee,4.5,1594,Coffee shop,-5.1626063,119.441512
127,Heiwa Angkringan & Kopi,5.0,29,Coffee shop,-5.1637583,119.4276383
128,Rappokopi,5.0,3,Coffee store,-5.1570931,119.4309602
129,Kahava Coffee Makassar,4.3,131,Cafe,-5.1733463,119.44193
130,Warkop BUNDU Balai Aroepala,4.4,1719,Coffee shop,-5.1765744,119.4571521
131,KopiA Makassar,5.0,38,Coffee shop,-5.180433,119.4600001
132,Eiger Coffee Makassar,4.6,38,Coffee shop,-5.1645179,119.4254588
133,Amoi Coffee,4.3,70,Coffee shop,-5.1790525,119.4616819
134,Wisata Coffee - Rappocini,0.0,0,Coffee shop,-5.1582203,119.433483
135,coffee house,5.0,1,Cafe,-5.1600401,119.4356115
136,Trema kopi,4.8,33,Coffee shop,-5.1749984,119.4442177
137,Om.Bren Cafe Store,4.7,77,Coffee shop,-5.1764598,119.4434983
138,Anotherplace Coffee House,4.6,98,Coffee shop,-5.1853627,119.449046
139,Rumah Kopi Shakila,4.7,157,Coffee shop,-5.1658192,119.4394428
140,ADAPADA KEDAI HERTASNING,4.7,130,Coffee shop,-5.1663141,119.4471736
141,Kopi Konoha,4.3,132,Coffee shop,-5.173906,119.45038
142,Kopi Mampir,4.6,38,Coffee shop,-5.1780072,119.460525
143,REAL CAFE,4.5,605,Coffee shop,-5.1756118,119.4440963
144,Hai HONG,4.5,645,Coffee shop,-5.1509505,119.4343532
145,Etika Studio,4.5,477,Coffee shop,-5.1740486,119.4462379
146,Warkop Nassami,4.5,206,Coffee shop,-5.1750837,119.4341904
147,Kopi Setia,4.5,176,Coffee shop,-5.1479649,119.4285747
148,KOPITAWA EST.2019,4.8,58,Cafe,-5.1687157,119.4383089
149,OCTAGRAM COFFEE,4.6,12,Coffee shop,-5.171398,119.4526077
150,Kopi Republik Makassar,4.8,11,Coffee shop,-5.180351,119.4426643
151,Kedai Kopi Daengna,4.4,217,Coffee shop,-5.1664226,119.4389022
152,Roemah singgah coffee,4.4,15,Coffee shop,-5.1656932,119.4394886
153,DIMINATI COFFEE,4.4,622,Coffee shop,-5.1583414,119.4368491
154,"Kata Kopi, Rappocini Raya",4.3,3,Coffee shop,-5.1551924,119.4291964
155,Safehaus,4.6,204,Coffee shop,-5.1631699,119.4387218
156,Rally Kopi,4.3,62,Cafe,-5.1700552,119.4383235
157,Kopi Sini Lagi,4.6,18,Coffee shop,-5.151364,119.4345311
158,Kedai Kopi Kampoeng,4.5,158,Coffee shop,-5.1570604,119.4376686
159,Hold Coffee,5.0,5,Coffee store,-5.1586605,119.4337529
160,Warkop Malomo,4.5,126,Coffee shop,-5.1579223,119.4326955
161,Van Djoel Coffee Shop,4.5,258,Cafe,-5.1658209,119.4391993
162,Teman Nongkrong,4.6,115,Coffee shop,-5.183731,119.4520111
163,KOPI BUNG !,4.6,11,Coffee shop,-5.1685318,119.4389143
164,Kopi Chuseyo Makassar,4.8,42,Coffee shop,-5.1480093,119.430553
165,Kopi Kenangan - Ruko Alauddin,4.5,347,Coffee shop,-5.1799586,119.4404498
166,The king cafe,4.6,210,Cafe,-5.1787308,119.4436926
167,nomena coffee,4.8,61,Coffee shop,-5.1825547,119.4464828
168,Jeger barber & coffeeshop,4.5,273,Coffee shop,-5.1762634,119.4437771
169,Bamboo Curtain Coffee Shops,4.6,199,Coffee shop,-5.1674239,119.446381
170,TOKO KOPI OMA - POST CANTOOR,4.2,168,Coffee shop,-5.1641951,119.4346695
171,Kopi Mang'cook,4.3,24,Coffee shop,-5.1624683,119.4374962
172,Kedai Anjari,4.8,4,Coffee shop,-5.1570881,119.4328806
173,MOKI KOPI,4.7,19,Coffee shop,-5.1540468,119.4356709
174,Squid Spot Coffee,4.6,44,Coffee shop,-5.1589655,119.4253684
175,KOPI HOKI,4.9,11,Coffee shop,-5.1777903,119.4429602
176,Kanal Social Space,4.4,99,Coffee shop,-5.1589389,119.4254757
177,Snacktea Coffee,4.6,202,Coffee shop,-5.1783009,119.4392894
178,Gerobak Kopi Binggo,4.8,27,Coffee shop,-5.1728786,119.4540531
179,Duolis Coffe,4.6,68,Cafe,-5.175883,119.445926
180,Sudut Senja,4.2,79,Coffee shop,-5.1639611,119.4239565
181,Arion Coffee Shop Makassar,4.2,10,Cafe,-5.1598856,119.4358148
182,Warkop Paruh Waktu Kec. Rappocini,5.0,1,Coffee shop,-5.1862444,119.4425385
183,Kopi Bagaya,4.7,17,Coffee shop,-5.1653169,119.4314441
184,Warkop Pelita Makassar,4.4,273,Coffee shop,-5.1491682,119.4373885
185,Kedai Kopi Geladeri,5.0,23,Coffee shop,-5.1684587,119.4385711
186,Hanun kopi,5.0,1,Coffee shop,-5.162853,119.429863
187,Starbucks Pelita Raya,4.6,593,Coffee shop,-5.1544399,119.4361295
188,Kopi Owner,5.0,5,Coffee shop,-5.19045,119.4511707
189,OM.BREN,4.2,125,Coffee shop,-5.1854699,119.4490564
191,ANIMO KOPI & VAPE STORE,4.7,35,Coffee shop,-5.1606589,119.4283271
192,Warkop Dg Anas Faisal,4.6,692,Coffee shop,-5.16599,119.4339834
193,Pos Kopi,4.6,16,Coffee shop,-5.1577428,119.4306507
194,KOPI TADI,5.0,20,Cafe,-5.156585,119.4257403
195,Warkop Sahabat Umark,4.8,49,Coffee shop,-5.1538489,119.4301287
196,Herbag Kedai Kopi Tungku,4.4,46,Coffee shop,-5.1865781,119.4428474
197,Kopi Bersaksi,5.0,6,Coffee shop,-5.1773677,119.4599188
198,Kopi Ropu,5.0,1,Coffee shop,-5.1492797,119.4288964
199,Kopi Hari Ini & Food,4.8,76,Restaurant,-5.166221,119.42826
200,KOPI HANYA KAU,4.8,12,Coffee shop,-5.1535089,119.4339813
201,Es Kopi Coffee Daeng Makassar,5.0,3,Coffee shop,-5.1747311,119.442432
202,Reza Coffee & Palekko Makassar,4.5,494,Restaurant,-5.162599,119.4412008
203,Kopi Samping,5.0,5,Coffee shop,-5.1539909,119.4367609
204,MAKO (markas kopi ),4.7,20,Coffee shop,-5.169711,119.4583037
205,Coffee Lovers,4.3,7,Cafe,-5.1557114,119.4272531
206,KOPI BORONG TALASAPANG VAPE STORE,4.7,40,Cafeteria,-5.182662,119.4470098
207,Kopi Burung Seriti,5.0,3,Store,-5.1531129,119.4263437
208,Mooka Kopi Tamalate,4.0,1,Espresso bar,-5.1717501,119.4454484
209,Halo Coffee,0.0,0,Coffee shop,-5.1583826,119.4333023
210,Kedai Bestie Drink n Coffee Toraja,5.0,3,Coffee shop,-5.1491774,119.4287455
211,Kopi inspirasi,5.0,1,Espresso bar,-5.1880791,119.4511108
212,Kedai Kopi Ai,4.9,20,Coffee shop,-5.1841511,119.4495174
213,Anko Kopi,5.0,10,Coffee shop,-5.1772162,119.4433351
214,ES Coklat Mantap Rappocini,5.0,2,Coffee shop,-5.1568401,119.4318781
215,Kopi Setulus Hati,5.0,1,Coffee shop,-5.1675356,119.4284859
216,SS COFFEE SPACE,4.6,788,Coffee shop,-5.1246242,119.4293952
217,Kopi Sija Rappokalling,5.0,22,Coffee shop,-5.12628,119.4397558
218,148 Coffee Shop,4.5,538,Coffee shop,-5.1258269,119.4318026
219,Mimesis Coffee and Studio,4.9,20,Coffee shop,-5.123929,119.4396557
220,Tallo,0.0,0,Coffee shop,-5.106055,119.4384316
221,Kopi Koma Palopo,5.0,41,Coffee shop,-3.0093361,120.207358
222,EJA_COFFEE,4.5,121,Coffee shop,-5.1287063,119.4299604
223,Dwaga Coffee,4.9,30,Cafe,-5.12702,119.4375766
224,Kopi Riolo,4.6,333,Coffee shop,-5.1568381,119.4200304
225,Tifa Kopi & Laundry,4.9,32,Cafe,-5.1175883,119.4334677
226,Turatea Coffee,4.7,63,Cafe,-5.1231145,119.4408221
227,Teras Kopi 166,4.7,14,Coffee shop,-5.1152057,119.42259
228,eiyo coffe,4.9,31,Coffee shop,-5.1253442,119.4289181
229,STORIA Korban X BROZKA Bilyard,4.7,75,Coffee shop,-5.122459,119.4369828
230,Adiva Rong,5.0,11,Coffee shop,-5.1144358,119.4214486
231,AN Drink & Fruit,5.0,55,Coffee shop,-5.1240707,119.4419397
232,Kopi Toraja Asli,5.0,3,Cafe,-5.1292048,119.4385474
233,Warkop 157,4.6,227,Coffee shop,-5.1233831,119.4344349
234,wk ANANDA 27,5.0,1,Coffee shop,-5.1065048,119.4389601
235,Kedai Kopi Dbazz,4.5,251,Coffee shop,-5.1262316,119.4290973
236,Canbliss coffee rapokalling,5.0,1,Coffee shop,-5.1272315,119.4370897
237,Sudut Kopi 96,5.0,9,Coffee shop,-5.1283719,119.4291427
238,KEDAI PANDAI KOPI,5.0,9,Coffee shop,-5.1283764,119.4313387
239,Kopi Konoha Ujung Pandang Baru,4.8,6,Coffee shop,-5.124976,119.4348909
240,Teras Al-Qahwah,5.0,44,Coffee shop,-5.1204626,119.4304006
241,APPA TUJU KOPI,0.0,0,Coffee shop,-5.1187861,119.4279189
242,Korban Kopi Mks,5.0,11,Coffee shop,-5.1250202,119.4353208
243,Warkop Trapung,4.8,16,Coffee shop,-5.1093181,119.4413311
244,Pyur 2.0,4.4,114,Coffee shop,-5.1273836,119.4282093
246,Kopi Arobi & Arobi Tech,5.0,4,Coffee shop,-5.1220342,119.4351854
247,Lazidz Drink,5.0,6,Coffee shop,-5.1209226,119.4302055
248,Kedai History,5.0,3,Coffee shop,-5.1263395,119.4364505
249,142 Coffee,5.0,5,Coffee shop,-5.1259908,119.4324782
250,Kopi Rimba,4.5,29,Coffee shop,-5.1200766,119.4374768
251,RUMAH KOPI F5,4.6,36,Cafe,-5.1204394,119.4347414
252,Basto Id,4.7,47,Coffee shop,-5.1270561,119.4288575
253,Pabrik Kopi Bintang Terang,4.4,14,Coffee shop,-5.12592,119.4376305
254,Taman kopi,5.0,7,Coffee shop,-5.1212694,119.4359917
255,Bestie Coffee,4.2,6,Coffee shop,-5.1245714,119.4295078
256,Warkop A'BA,4.8,131,Coffee shop,-5.1209589,119.4363826
257,AMORE KOPI,4.6,8,Coffee shop,-5.1282077,119.4305606
258,Pohon kopi,4.8,4,Espresso bar,-5.129611,119.4303832
259,TOKO KOPI OMA SUNU,0.0,0,Coffee shop,-5.1223327,119.4298581
261,STORY COFFEE 116,4.1,42,Coffee shop,-5.1205161,119.4347351
262,Es coklat MOKITO,5.0,3,Coffee shop,-5.1250508,119.4334209
263,MR. THAHA,5.0,4,Espresso bar,-5.1242123,119.4362291
264,Lou Space Coffee & Roastery,4.9,30,Coffee shop,-5.1223179,119.4298765
