nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota
KOPI SEATAP,4.5,93,Coffee shop,-5.1659955,119.4450861,"Griya Panakkukang Indah, Bonto Makkio, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Bonto Makkio,Rappocini,Makassar
Warkop Toddopuli,4.3,524,Coffee shop,-5.1614096,119.4539655,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
Satu Kata Coffee,4.5,16,Cafe,-5.1601857,119.4487617,"Jalan Pengayoman, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Mall Panakkukang,5.0,2,Coffee shop,-5.1578711,119.4466995,"Pizza Hut Restoran - Panakkukang Mall Makassar, Jalan Adhyaksa, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Anafoora Rumah Kopi,4.8,22,Coffee shop,-5.1599764,119.4555594,"Jalan Anggrek, Kompleks Maizonette, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
Kopi Makassar,0.0,0,Coffee shop,-5.1609736,119.4457663,"Warung Barokah 354, Jalan Adhyaksa, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
RUKO Warung Kopi (ex Turbo),4.3,66,Coffee shop,-5.1543148,119.4396243,"TURBO CAFE, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Point Coffee,4.5,108,Coffee shop,-5.163678,119.4453834,"Rumah Sakit Grestelina, Jalan Adhyaksa 4, Kompleks Adhiyaksa, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Warkop Panakukang,4.9,10,Coffee shop,-5.1565249,119.4467882,"BCA, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi Lorong Makassar,4.8,5,Coffee shop,-5.1412962,119.4376911,"Jalan Sehati, Taeng, Karuwisi, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Karuwisi,Panakkukang,Makassar
Asia Coffee Shop by Sija,4.1,20,Coffee shop,-5.157658,119.4383802,"Kedai Kopi Asia by Sija, Asia Hotel - Lobby, Jalan Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi Jendral,4.1,13,Coffee shop,-5.1562039,119.4474783,"Pan asia, 5, Jalan Adhyaksa Baru Ruko Zamrud, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Masale,Panakkukang,Makassar
Kopi simore,5.0,11,Coffee shop,-5.1581153,119.453109,"Jalan Meranti, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
Warkop Sabila,4.4,472,Coffee shop,-5.1619318,119.454295,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
Duft Coffee Indonesia,4.8,73,Cafe,-5.1479834,119.4385163,"Jalan A.P. Pettarani, Tamamaung, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Tamamaung,Panakkukang,Makassar
Warkop Sitaba,4.6,261,Coffee shop,-5.157618,119.4449851,"Issue Shop, Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kalong Coffee,0.0,0,Coffee shop,-5.1610806,119.4452125,"Jalan Adhyaksa 1, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi 57,3.8,4,Coffee shop,-5.160689,119.4486053,"Jalan Kompleks Gladiol, Kompleks Gladiol, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Kopi Janji Jiwa Hertasning,4.2,350,Cafe,-5.1629205,119.4440772,"Jalan Letjen Hertasning, Bonto Makkio, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Bonto Makkio,Rappocini,Makassar
Kopi Three,4.2,6,Coffee shop,-5.1576496,119.4499374,"Kompleks Azalea, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
QnA Coffee&Eatery,4.3,19,Coffee shop,-5.1480153,119.4386618,"Jalan A.P. Pettarani, Tamamaung, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Tamamaung,Panakkukang,Makassar
SIJA PETTARANI,4.8,118,Cafe,-5.1467249,119.4393314,"Jl. Andi Pangeran Pettarani 3, Tamamaung, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Tamamaung,Panakkukang,Makassar
Teduh coffee Makassar,5.0,2,Coffee shop,-5.1619317,119.4542951,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
Mark Trees Cafe,4.6,924,Coffee shop,-5.1471596,119.4161301,"Jalan G. Batu Putih Bundar, Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Mangkura,Ujung Pandang,Makassar
AWM COFFEE HOUSE,5.0,9,Coffee shop,-5.1637398,119.4485196,"Perumnas Toddppuli, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Paskop.co,4.6,635,Coffee shop,-5.167445,119.431145,"Jalan Andi Djemma, Mannuruki, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Mannuruki,Tamalate,Makassar
Cabana Coffee and Eatery,4.6,78,Coffee shop,-5.1753114,119.4554897,"Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Karunrung,Rappocini,Makassar
Kinawa Coffee,4.8,94,Coffee shop,-5.1496308,119.4353298,"Jalan Pelita Raya, Masale, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Ballaparang,Rappocini,Makassar
Coffee Solution,4.7,39,Coffee shop,-5.1761831,119.4574832,"Toko Rezki Bangunan, Jalan Aroepala, Tombolo, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Karunrung,Rappocini,Makassar
MOOVS from Tastea - Rappocini,4.9,49,Coffee shop,-5.1597965,119.4356554,"KANTOR KEMENTRIAN AGAMA, Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Buakana,Rappocini,Makassar
Tamamito Coffee,4.9,68,Coffee shop,-5.1793896,119.4614204,"Jalan Minasa Upa Raya, BTN Minasa Upa, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Minasa Upa,Rappocini,Makassar
JAJINI Co Brewing Space,4.9,54,Coffee shop,-5.1503931,119.431417,"Jalan Monginsidi Baru, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Ballaparang,Rappocini,Makassar
Kopi Break,4.8,118,Cafe,-5.1702429,119.4369989,"Jalan Raya Pendidikan, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Tidung,Rappocini,Makassar
442 Coffee Rappocini,5.0,1,Coffee shop,-5.1520568,119.4298223,"Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Rappocini,Rappocini,Makassar
Kopi Teko,4.9,150,Coffee store,-5.1752081,119.439402,"Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",Gunung Sari,Rappocini,Makassar
Kopi JEKA,4.7,101,Coffee shop,-5.1728088,119.4423444,"Jalan Monumen Emmy Saelan, Perumnas Tamalate, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Tidung,Rappocini,Makassar
Kopi Kenangan - Ruko Rapoccini,4.8,32,Coffee shop,-5.1539531,119.4275954,"Jalan Rappocini Raya, Rappo Ciniʼ, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Rappocini,Rappocini,Makassar
Toko Kopi AbadiJaya,4.6,45,Cafe,-5.1629107,119.4332213,"Come On Cup Coffee and More, Jalan R.S.I Faisal IV, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Banta-Bantaeng,Rappocini,Makassar
