,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
558,Onkel John's Coffee Hasanuddin,4.8,227,Coffee shop,-5.1407758,119.4106093,"Fore Coffee, 53, Jalan Sultan Hasanuddin, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",Sawerigading,Ujung Pandang,Makassar,4.692729598703502
611,Goodfields Makassar,4.7,1276,Cafe,-5.1395574,119.4107145,"Hawker Resto, Jalan Chairil Anwar, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90115, Indonesia",Sawerigading,Ujung Pandang,Makassar,4.681826200287063
441,EsKopi Daeng Tata Raya,4.9,105,Coffee shop,-5.1814812,119.4181503,"Jalan Daeng Tata, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Bonto Duri,Tamalate,Makassar,4.680494793003697
326,DAWAI COFFEE,4.7,739,Coffee shop,-5.1407531,119.4838797,"Jalan Perintis Kemerdekaan 7, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.670282776403478
542,Coffee klasik ind,4.9,93,Coffee shop,-5.1857335,119.4142618,"Cappak Buluk, Balang Baru, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Balang Baru,Tamalate,Makassar,4.66728783379252
44,Kedai Djaja,4.8,163,Coffee shop,-5.1616312,119.4531786,"Pasar Toddoppuli, Jalan Toddopuli Raya, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar,4.6672501698386935
845,Kopi Dua Delapan - Goa Ria,5.0,65,Coffee shop,-5.0786978,119.5242205,"Sudiang, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90155, Indonesia",Sudiang,Biringkanaya,Makassar,4.667194855576412
560,MyCoffee,4.7,646,Coffee shop,-5.1363961,119.4075414,"Black Canyon, Jalan Pattimura, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Bulogading,Ujung Pandang,Makassar,4.666609814719519
766,Double Shot Cafe,4.7,571,Coffee shop,-5.1299723,119.4118201,"Irian Timor, Jalan Dokter Wahidin Sudirohusodo, Pattunuang, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Pattunuang,Wajo,Makassar,4.662913184358466
1048,Kopirong Coffee Roaster,4.9,89,Coffee store,-5.1663892,119.418959,"Jalan Andi Mappaodang, Bonto Kamase, Parang, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Parang,Mamajang,Makassar,4.66252512058396
346,Mr GEng Bread & Coffee,4.9,89,Coffee shop,-5.1370421,119.508567,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar,4.66252512058396
737,Rumah Kopi Setia,4.7,522,Coffee shop,-5.1259252,119.4132633,"UD. Prima Tunggal, Jalan Dokter Wahidin Sudirohusodo, Melayu Baru, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90174, Indonesia",Melayu Baru,Wajo,Makassar,4.660021517058914
323,KOPITHA,4.9,85,Coffee shop,-5.1332302,119.5035414,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.657563385734343
0,Kopi Teori New Chapter,4.7,452,Coffee shop,-5.1552828,119.4401047,"WARKOP SAMI, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.6550102919344925
329,Banua Coffee,4.8,140,Coffee shop,-5.1207812,119.5024092,"Biring Romang, Kapasa, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Kapasa,Tamalanrea,Makassar,4.654861013552944
1095,Warkop 52,4.7,438,Coffee shop,-5.1567647,119.4186954,"Jalan Badak, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.653853414988682
1043,EIGHTEEN Eatery,4.7,406,Asian,-5.15163,119.4216345,"Jalan Rusa, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya,Makassar,Makassar,4.650971758205271
252,Warkop A'BA,4.8,131,Coffee shop,-5.1209589,119.4363826,"Jalan Blok D/B Ade Irma Nasution, Ujung Pandang Baru, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90215, Indonesia",Ujung Pandang Baru,Tallo,Makassar,4.649359736760208
566,Ngopi Santai,4.7,368,Coffee shop,-5.1592494,119.4186329,"Lorong 2, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.647044910966245
843,Point Coffee Gedhe Indogrosir Makassar,4.9,77,Coffee shop,-5.0787648,119.5224681,"Jalan Perintis Kemerdekaan, Pai, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90155, Indonesia",Pai,Biringkanaya,Makassar,4.646990775357443
228,AN Drink & Fruit,5.0,55,Coffee shop,-5.1240707,119.4419397,"Rappokalling, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90216, Indonesia",Rappokalling,Tallo,Makassar,4.646580710465467
354,TONGKONAN COFFEE,4.8,126,Coffee shop,-5.1399228,119.5147822,"Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar,4.646119395206198
1200,MANNERS COFFEE AND SOCIETY,4.9,76,Coffee shop,-5.1785402,119.4707236,"Dampang Bira, Bangkala, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Bangkala,Manggala,Makassar,4.6456040058010695
339,Tastea BTP,4.8,123,Coffee shop,-5.1361549,119.5076828,"Restaurant Nike Ardilla, Jalan Tamalanrea Jaya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.644107402190061
