X,name...2,rating,num_reviewers,type...5,lat,long,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,class,type...16,place_rank,importance,addresstype,name...20,amenity,road,hamlet,suburb,city_district,city,state,ISO3166-2-lvl4,region,ISO3166-2-lvl3,postcode,country,country_code,boundingbox,residential,shop,tourism,commercial,house_number,building,district,office,village,retail,neighbourhood,leisure,historic,municipality,town,county,man_made,place,industrial,healthcare,city_block
125,Kopi Kenangan - Ruko Landak Makassar,4.3,104,Coffee shop,-5.1640194,119.4245252,"Rumah Makan Landak Baru, Jalan Andi Djemma, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24724519,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,192963228,-5.1639679,119.4246355,amenity,restaurant,30,5.50019073776916e-05,amenity,Rumah Makan Landak Baru,Rumah Makan Landak Baru,Jalan Andi Djemma,,Banta-Bantaeng,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1640582|-5.1638777|119.4245500|119.4247210,,,,,,,,,,,,,,,,,,,,,
126,Black Canyon Coffee,4.5,1594,Coffee shop,-5.1626063,119.441512,"Jalan Letjen Hertasning, Bonto Cinde, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",25018507,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,1018228477,-5.1624589,119.4415320,highway,primary,26,0.053388335240711,road,Jalan Letjen Hertasning,,Jalan Letjen Hertasning,Bonto Cinde,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1624757|-5.1620803|119.4388197|119.4416562,,,,,,,,,,,,,,,,,,,,,
127,Heiwa Angkringan & Kopi,5,29,Coffee shop,-5.1637583,119.4276383,"Jalan Landak Baru IX, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24739270,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,169012543,-5.1638257,119.4276139,highway,residential,26,0.053388335240711,road,Jalan Landak Baru IX,,Jalan Landak Baru IX,,Banta-Bantaeng,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1656797|-5.1637928|119.4273526|119.4279078,,,,,,,,,,,,,,,,,,,,,
128,Rappokopi,5,3,Coffee store,-5.1570931,119.4309602,"Jalan Rappocini Blok 8, Cilallang, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",25160657,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195975964,-5.1570523,119.4308499,highway,residential,26,0.053388335240711,road,Jalan Rappocini Blok 8,,Jalan Rappocini Blok 8,Benteng,Buakana,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90111,Indonesia,id,-5.1579699|-5.1564772|119.4305411|119.4310769,Cilallang,,,,,,,,,,,,,,,,,,,,
129,Kahava Coffee Makassar,4.3,131,Cafe,-5.1733463,119.44193,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",24798750,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190772446,-5.1733598,119.4419239,highway,residential,26,0.053388335240711,road,"",,,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92221,Indonesia,id,-5.1734159|-5.1725467|119.4401539|119.4420486,,,,,,,,,,,,,,,,,,,,,
130,Warkop BUNDU Balai Aroepala,4.4,1719,Coffee shop,-5.1765744,119.4571521,"Warkop Bundu, Jalan Aroepala, Anging Mammiri Resicence, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",25030217,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,350607481,-5.1766087,119.4570719,amenity,cafe,30,5.50019073776916e-05,amenity,Warkop Bundu,Warkop Bundu,Jalan Aroepala,,Karunrung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1768361|-5.1764438|119.4569188|119.4571985,Anging Mammiri Resicence,,,,,,,,,,,,,,,,,,,,
131,KopiA Makassar,5,38,Coffee shop,-5.180433,119.4600001,"Jalan Minasa Upa Blok N3, BTN Minasa Upa, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",24672164,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190750163,-5.1804494,119.4600356,highway,residential,26,0.053388335240711,road,Jalan Minasa Upa Blok N3,,Jalan Minasa Upa Blok N3,,Minasa Upa,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92114,Indonesia,id,-5.1813532|-5.1802152|119.4596613|119.4601435,BTN Minasa Upa,,,,,,,,,,,,,,,,,,,,
132,Eiger Coffee Makassar,4.6,38,Coffee shop,-5.1645179,119.4254588,"Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24745976,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,254133965,-5.1645093,119.4254434,highway,residential,26,0.053388335240711,road,"",,,,Banta-Bantaeng,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1645932|-5.1636537|119.4253966|119.4259405,,,,,,,,,,,,,,,,,,,,,
133,Amoi Coffee,4.3,70,Coffee shop,-5.1790525,119.4616819,"Jalan Minasa Upa Raya, BTN Minasa Upa, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",24873349,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190750206,-5.1790243,119.4616129,highway,tertiary,26,0.053388335240711,road,Jalan Minasa Upa Raya,,Jalan Minasa Upa Raya,,Minasa Upa,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92114,Indonesia,id,-5.1842150|-5.1784370|119.4594112|119.4618526,BTN Minasa Upa,,,,,,,,,,,,,,,,,,,,
134,Wisata Coffee - Rappocini,0,0,Coffee shop,-5.1582203,119.433483,"Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24734440,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,1132686895,-5.1582728,119.4334430,highway,secondary,26,0.053388335240711,road,Jalan Rappocini Raya,,Jalan Rappocini Raya,Benteng,Buakana,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1602755|-5.1571116|119.4318963|119.4360663,,,,,,,,,,,,,,,,,,,,,
135,coffee house,5,1,Cafe,-5.1600401,119.4356115,"RM.NYOTO, Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24788355,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,197317905,-5.1601252,119.4355283,amenity,restaurant,30,5.50019073776916e-05,amenity,RM.NYOTO,RM.NYOTO,Jalan Rappocini Raya,Benteng,Buakana,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1602342|-5.1600162|119.4354290|119.4356276,,,,,,,,,,,,,,,,,,,,,
136,Trema kopi,4.8,33,Coffee shop,-5.1749984,119.4442177,"Bus47 Skarda, Jalan Skarda N1, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",24856506,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7874749569,-5.1749900,119.4442271,amenity,marketplace,30,5.50019073776916e-05,amenity,Bus47 Skarda,Bus47 Skarda,Jalan Skarda N1,,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90135,Indonesia,id,-5.1750400|-5.1749400|119.4441771|119.4442771,,,,,,,,,,,,,,,,,,,,,
137,Om.Bren Cafe Store,4.7,77,Coffee shop,-5.1764598,119.4434983,"Jalan Skarda N1, Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",24954577,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,197021985,-5.1764949,119.4435723,highway,residential,26,0.053388335240711,road,Jalan Skarda N1,,Jalan Skarda N1,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90135,Indonesia,id,-5.1774143|-5.1747678|119.4431274|119.4444727,,,,,,,,,,,,,,,,,,,,,
138,Anotherplace Coffee House,4.6,98,Coffee shop,-5.1853627,119.449046,"Jalan Jipang Raya, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90161, Indonesia",24753120,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,96019056,-5.1853276,119.4489571,highway,secondary,26,0.053388335240711,road,Jalan Jipang Raya,,Jalan Jipang Raya,,Karunrung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90161,Indonesia,id,-5.1893841|-5.1834534|119.4475716|119.4496728,,,,,,,,,,,,,,,,,,,,,
139,Rumah Kopi Shakila,4.7,157,Coffee shop,-5.1658192,119.4394428,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24642985,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,576937758,-5.1658101,119.4393733,highway,tertiary,26,0.053388335240711,road,"",,,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1662449|-5.1653767|119.4393166|119.4394299,,,,,,,,,,,,,,,,,,,,,
140,ADAPADA KEDAI HERTASNING,4.7,130,Coffee shop,-5.1663141,119.4471736,"Jalan Letjen Hertasning, Bonto Makkio, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",24802669,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,758652195,-5.1661986,119.4472942,highway,primary,26,0.053388335240711,road,Jalan Letjen Hertasning,,Jalan Letjen Hertasning,,Bonto Makkio,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1672381|-5.1624757|119.4416562|119.4482663,,,,,,,,,,,,,,,,,,,,,
141,Kopi Konoha,4.3,132,Coffee shop,-5.173906,119.45038,"Jalan Tidung 9, Panakkukang Permai, Mappala, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",24819683,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,197022002,-5.1738907,119.4503308,highway,tertiary,26,0.053388335240711,road,Jalan Tidung 9,,Jalan Tidung 9,,Mappala,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1750506|-5.1730111|119.4499998|119.4505827,Panakkukang Permai,,,,,,,,,,,,,,,,,,,,
142,Kopi Mampir,4.6,38,Coffee shop,-5.1780072,119.460525,"Jalan Aroepala, Tombolo, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",24758926,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,281227291,-5.1778611,119.4605976,highway,primary,26,0.053388335240711,road,Jalan Aroepala,,Jalan Aroepala,,Minasa Upa,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92114,Indonesia,id,-5.1790579|-5.1750762|119.4556601|119.4632088,,,,,,,,,Tombolo,,,,,,,,,,,,
143,REAL CAFE,4.5,605,Coffee shop,-5.1756118,119.4440963,"Jalan Skarda N1, Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",24952087,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,197021985,-5.1755678,119.4440109,highway,residential,26,0.053388335240711,road,Jalan Skarda N1,,Jalan Skarda N1,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90135,Indonesia,id,-5.1774143|-5.1747678|119.4431274|119.4444727,,,,,,,,,,,,,,,,,,,,,
144,Hai HONG,4.5,645,Coffee shop,-5.1509505,119.4343532,"Jalan Pelita Raya, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24839859,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,196892230,-5.1509595,119.4344371,highway,tertiary,26,0.053388335240711,road,Jalan Pelita Raya,,Jalan Pelita Raya,,Ballaparang,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1543788|-5.1497287|119.4340582|119.4369761,,,,,,,,,,,,,,,,,,,,,
145,Etika Studio,4.5,477,Coffee shop,-5.1740486,119.4462379,"ALFAMIDI, Jalan Setapak 8, Panakkukang Permai, Mappala, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",24975131,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,3563679993,-5.1739261,119.4456863,shop,yes,30,5.50019073776916e-05,shop,ALFAMIDI,,Jalan Setapak 8,,Mappala,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1739761|-5.1738761|119.4456363|119.4457363,Panakkukang Permai,ALFAMIDI,,,,,,,,,,,,,,,,,,,
146,Warkop Nassami,4.5,206,Coffee shop,-5.1750837,119.4341904,"Kompleks Permatasari, Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90223, Indonesia",25019852,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,169002593,-5.1751901,119.4341354,highway,residential,26,0.053388335240711,road,"",,,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90223,Indonesia,id,-5.1756279|-5.1746612|119.4331129|119.4346028,Kompleks Permatasari,,,,,,,,,,,,,,,,,,,,
147,Kopi Setia,4.5,176,Coffee shop,-5.1479649,119.4285747,"Jalan Sungai Saddang Baru, Bara-Baraya Selatan, Makassar, Sulawesi Selatan, Sulawesi, 90143, Indonesia",25011444,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,204633270,-5.1478589,119.4286061,highway,secondary,26,0.053388335240711,road,Jalan Sungai Saddang Baru,,Jalan Sungai Saddang Baru,,Bara-Baraya Selatan,Makassar,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90143,Indonesia,id,-5.1479831|-5.1472463|119.4267713|119.4294220,,,,,,,,,,,,,,,,,,,,,
148,KOPITAWA EST.2019,4.8,58,Cafe,-5.1687157,119.4383089,"Jalan Pendidikan 1, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24980721,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,96019042,-5.1687322,119.4384224,highway,residential,26,0.053388335240711,road,Jalan Pendidikan 1,,Jalan Pendidikan 1,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1703387|-5.1662912|119.4382109|119.4387429,,,,,,,,,,,,,,,,,,,,,
149,OCTAGRAM COFFEE,4.6,12,Coffee shop,-5.171398,119.4526077,"Permata Hijau Permai, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",24994309,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,252558358,-5.1713679,119.4525139,highway,unclassified,26,0.053388335240711,road,"",,,Kassiʼ-Kassiʼ,Kassi-Kassi,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1716094|-5.1700869|119.4524343|119.4528738,Permata Hijau Permai,,,,,,,,,,,,,,,,,,,,
150,Kopi Republik Makassar,4.8,11,Coffee shop,-5.180351,119.4426643,"Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",24751712,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,317523513,-5.1803104,119.4426807,highway,residential,26,0.053388335240711,road,"",,,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92221,Indonesia,id,-5.1805903|-5.1802243|119.4424679|119.4433730,,,,,,,,,,,,,,,,,,,,,
151,Kedai Kopi Daengna,4.4,217,Coffee shop,-5.1664226,119.4389022,"Daengna, Jalan Pendidikan 1, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",25104759,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,3563642494,-5.1664641,119.4388521,amenity,cafe,30,5.50019073776916e-05,amenity,Daengna,Daengna,Jalan Pendidikan 1,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1665141|-5.1664141|119.4388021|119.4389021,,,,,,,,,,,,,,,,,,,,,
152,Roemah singgah coffee,4.4,15,Coffee shop,-5.1656932,119.4394886,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24642985,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,576937758,-5.1656804,119.4393903,highway,tertiary,26,0.053388335240711,road,"",,,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1662449|-5.1653767|119.4393166|119.4394299,,,,,,,,,,,,,,,,,,,,,
153,DIMINATI COFFEE,4.4,622,Coffee shop,-5.1583414,119.4368491,"Bonto Cinde, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24805163,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,958779843,-5.1583102,119.4366432,highway,trunk,26,0.053388335240711,road,"",,,Bonto Cinde,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1619202|-5.1576839|119.4359870|119.4367373,,,,,,,,,,,,,,,,,,,,,
154,"Kata Kopi, Rappocini Raya",4.3,3,Coffee shop,-5.1551924,119.4291964,"Jalan Rappocini Raya, Rappo Ciniʼ, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",24944993,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,108729890,-5.1551202,119.4292496,highway,secondary,26,0.053388335240711,road,Jalan Rappocini Raya,,Jalan Rappocini Raya,,Rappocini,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90111,Indonesia,id,-5.1571116|-5.1526033|119.4258814|119.4318963,Rappo Ciniʼ,,,,,,,,,,,,,,,,,,,,
155,Safehaus,4.6,204,Coffee shop,-5.1631699,119.4387218,"Jalan Hertasning II, Bonto Cinde, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",25029561,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,169008996,-5.1632501,119.4387109,highway,residential,26,0.053388335240711,road,Jalan Hertasning II,,Jalan Hertasning II,Bonto Cinde,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1632717|-5.1629392|119.4367048|119.4388707,,,,,,,,,,,,,,,,,,,,,
156,Rally Kopi,4.3,62,Cafe,-5.1700552,119.4383235,"Jalan Pendidikan 1, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24700880,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,96019042,-5.1700454,119.4382467,highway,residential,26,0.053388335240711,road,Jalan Pendidikan 1,,Jalan Pendidikan 1,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1703387|-5.1662912|119.4382109|119.4387429,,,,,,,,,,,,,,,,,,,,,
157,Kopi Sini Lagi,4.6,18,Coffee shop,-5.151364,119.4345311,"Jalan Pelita Raya, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24730782,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,196892230,-5.1513468,119.4343947,highway,tertiary,26,0.053388335240711,road,Jalan Pelita Raya,,Jalan Pelita Raya,,Ballaparang,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1543788|-5.1497287|119.4340582|119.4369761,,,,,,,,,,,,,,,,,,,,,
158,Kedai Kopi Kampoeng,4.5,158,Coffee shop,-5.1570604,119.4376686,"Pengayoman Blok F-12, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24991719,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,169009132,-5.1570665,119.4377261,highway,residential,26,0.053388335240711,road,Pengayoman Blok F-12,,Pengayoman Blok F-12,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1578142|-5.1554875|119.4376248|119.4378458,,,,,,,,,,,,,,,,,,,,,
159,Hold Coffee,5,5,Coffee store,-5.1586605,119.4337529,"WARKOP MOLOMO, Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24851903,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195976733,-5.1586699,119.4336254,amenity,cafe,30,5.50019073776916e-05,amenity,WARKOP MOLOMO,WARKOP MOLOMO,Jalan Rappocini Raya,Benteng,Buakana,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1587711|-5.1585687|119.4335391|119.4337117,,,,,,,,,,,,,,,,,,,,,
160,Warkop Malomo,4.5,126,Coffee shop,-5.1579223,119.4326955,"Kampus 3 Universitas Indonesia Timur Makassar, Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24786103,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,609029791,-5.1578980,119.4325678,amenity,university,30,5.50019073776916e-05,amenity,Kampus 3 Universitas Indonesia Timur Makassar,Kampus 3 Universitas Indonesia Timur Makassar,Jalan Rappocini Raya,Benteng,Buakana,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1580008|-5.1577855|119.4324745|119.4326589,,,,,,,,,,,,,,,,,,,,,
161,Van Djoel Coffee Shop,4.5,258,Cafe,-5.1658209,119.4391993,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",24864269,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,576937753,-5.1658277,119.4392417,highway,tertiary,26,0.053388335240711,road,"",,,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90221,Indonesia,id,-5.1662280|-5.1654572|119.4391811|119.4393012,,,,,,,,,,,,,,,,,,,,,
162,Teman Nongkrong,4.6,115,Coffee shop,-5.183731,119.4520111,"BTN Minasa Upa, Jipang, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90161, Indonesia",25054173,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,252002987,-5.1837038,119.4519156,highway,living_street,26,0.053388335240711,road,"",,,Jipang,Karunrung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90161,Indonesia,id,-5.1840236|-5.1835952|119.4518244|119.4519465,BTN Minasa Upa,,,,,,,,,,,,,,,,,,,,
163,KOPI BUNG !,4.6,11,Coffee shop,-5.1685318,119.4389143,"Jalan Mapala, Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",24855401,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,96019086,-5.1684295,119.4389281,highway,residential,26,0.053388335240711,road,Jalan Mapala,,Jalan Mapala,Bonto Teʼne,Tidung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92221,Indonesia,id,-5.1693043|-5.1675440|119.4344797|119.4433479,,,,,,,,,,,,,,,,,,,,,
164,Kopi Chuseyo Makassar,4.8,42,Coffee shop,-5.1480093,119.430553,"Distributor Lantai Vnyl, Plafon PVC, Conwood, Wallpaper 3D & Rumput Sintetis, 46, Jalan Sungai Saddang Baru, Ballaparang, Makassar, Sulawesi Selatan, Sulawesi, 90232, Indonesia",25049662,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195339771,-5.1483563,119.4304788,office,yes,30,5.50019073776916e-05,office,"Distributor Lantai Vnyl, Plafon PVC, Conwood, Wallpaper 3D & Rumput Sintetis",,Jalan Sungai Saddang Baru,,Ballaparang,Makassar,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90232,Indonesia,id,-5.1484678|-5.1482448|119.4303889|119.4305687,,,,,46,,,"Distributor Lantai Vnyl, Plafon PVC, Conwood, Wallpaper 3D & Rumput Sintetis",,,,,,,,,,,,,
165,Kopi Kenangan - Ruko Alauddin,4.5,347,Coffee shop,-5.1799586,119.4404498,"The Boss Cafe, Jalan Sultan Alauddin, Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",24965732,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4172287289,-5.1797019,119.4402897,amenity,cafe,30,5.50019073776916e-05,amenity,The Boss Cafe,The Boss Cafe,Jalan Sultan Alauddin,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92221,Indonesia,id,-5.1797519|-5.1796519|119.4402397|119.4403397,,,,,,,,,,,,,,,,,,,,,
166,The king cafe,4.6,210,Cafe,-5.1787308,119.4436926,"Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",25010200,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,576543452,-5.1787086,119.4436411,highway,residential,26,0.053388335240711,road,"",,,,Gunung Sari,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92221,Indonesia,id,-5.1791393|-5.1778260|119.4434659|119.4439963,,,,,,,,,,,,,,,,,,,,,
167,nomena coffee,4.8,61,Coffee shop,-5.1825547,119.4464828,"Jipang, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",24901025,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,252558310,-5.1825315,119.4463712,highway,residential,26,0.053388335240711,road,"",,,Jipang,Karunrung,Rappocini,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90222,Indonesia,id,-5.1826876|-5.1823716|119.4463387|119.4464044,,,,,,,,,,,,,,,,,,,,,
