X,name...2,rating,num_reviewers,type...5,lat,long,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,class,type...16,place_rank,importance,addresstype,name...20,amenity,road,hamlet,suburb,city_district,city,state,ISO3166-2-lvl4,region,ISO3166-2-lvl3,postcode,country,country_code,boundingbox,residential,shop,tourism,commercial,house_number,building,district,office,village,retail,neighbourhood,leisure,historic,municipality,town,county,man_made,place,industrial,healthcare,city_block
568,Kopi Pandang,4.9,26,Coffee shop,-5.1508482,119.4235438,"Jalan Anuang, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",24839783,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,169018465,-5.1508296,119.4234228,highway,residential,26,0.053388335240711,road,Jalan Anuang,,Jalan Anuang,,Maricaya,Makassar,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90142,Indonesia,id,-5.1518851|-5.1487302|119.4233534|119.4236642,,,,,,,,,,,,,,,,,,,,,
569,Onkel John's Coffee Hasanuddin,4.8,227,Coffee shop,-5.1407758,119.4106093,"Fore Coffee, 53, Jalan Sultan Hasanuddin, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",24762526,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,193462253,-5.1409349,119.4109069,amenity,cafe,30,5.50019073776916e-05,amenity,Fore Coffee,Fore Coffee,Jalan Sultan Hasanuddin,,Sawerigading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90114,Indonesia,id,-5.1410438|-5.1408116|119.4107513|119.4110537,,,,,53,,,,,,,,,,,,,,,,
570,Ceylon coffee,4.8,71,Coffee shop,-5.1394958,119.4098557,"Mix, C3, Jalan Ranggong, Baru, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",24518425,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,5520715423,-5.1394210,119.4088843,shop,beauty,30,5.50019073776916e-05,shop,Mix,,Jalan Ranggong,,Baru,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1394710|-5.1393710|119.4088343|119.4089343,,Mix,,,C3,,,,,,,,,,,,,,,,
571,MyCoffee,4.7,646,Coffee shop,-5.1363961,119.4075414,"Black Canyon, Jalan Pattimura, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",396501676,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4172713669,-5.1363340,119.4075102,amenity,cafe,30,5.50019073776916e-05,amenity,Black Canyon,Black Canyon,Jalan Pattimura,,Bulogading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90171,Indonesia,id,-5.1363840|-5.1362840|119.4074602|119.4075602,,,,,,,,,,,,,,,,,,,,,
572,Dari Kopi Daeng Tompo,4.7,317,Coffee shop,-5.1430498,119.4096058,"Fave Hotel Losari, Jalan Dg. Tompo, Maloku, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",24920326,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,819043540,-5.1431135,119.4095289,tourism,hotel,30,5.50019073776916e-05,tourism,Fave Hotel Losari,,Jalan Dg. Tompo,,Maloku,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1432587|-5.1430162|119.4093089|119.4097479,,,Fave Hotel Losari,,,,,,,,,,,,,,,,,,
573,Kedai Lawas,4.7,321,Coffee shop,-5.1394868,119.4078935,"Jalan Ranggong, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",25031286,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190716946,-5.1396521,119.4079102,highway,residential,26,0.053388335240711,road,Jalan Ranggong,,Jalan Ranggong,,Bulogading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1399374|-5.1393088|119.4063620|119.4099444,,,,,,,,,,,,,,,,,,,,,
574,Social Barn Sutomo,4.5,773,Coffee shop,-5.1434739,119.4135587,"Social Barn, Jalan Dokter Sutomo, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",406480155,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195347718,-5.1434936,119.4135566,amenity,cafe,30,5.50019073776916e-05,amenity,Social Barn,Social Barn,Jalan Dokter Sutomo,,Sawerigading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90114,Indonesia,id,-5.1435638|-5.1434234|119.4134799|119.4136332,,,,,,,,,,,,,,,,,,,,,
575,Delicate Coffee Rotterdam,4.8,26,Coffee shop,-5.1339896,119.4044186,"BNI, Jalan Ujung Pandang, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",24865523,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2515889855,-5.1338977,119.4045076,amenity,atm,30,5.50019073776916e-05,amenity,BNI,BNI,Jalan Ujung Pandang,,Bulogading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90171,Indonesia,id,-5.1339477|-5.1338477|119.4044576|119.4045576,,,,,,,,,,,,,,,,,,,,,
576,THE LIBRARY COFFEE & BOOKS,4.7,71,Coffee shop,-5.1407038,119.4131649,"Jalan Dokter Sutomo, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",24702110,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,28919437,-5.1407183,119.4131015,highway,residential,26,0.053388335240711,road,Jalan Dokter Sutomo,,Jalan Dokter Sutomo,,Sawerigading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90114,Indonesia,id,-5.1451137|-5.1395059|119.4128291|119.4141308,,,,,,,,,,,,,,,,,,,,,
577,Ngopi Santai,4.7,368,Coffee shop,-5.1592494,119.4186329,"Lorong 2, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",24738788,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,577028672,-5.1592969,119.4186228,highway,residential,26,0.053388335240711,road,Lorong 2,,Lorong 2,,Bonto Biraeng,Mamajang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90132,Indonesia,id,-5.1594432|-5.1592718|119.4185045|119.4193117,,,,,,,,,,,,,,,,,,,,,
